model,map,steps
model_original_depth_10.joblib,map_1.txt,
model_original_depth_10.joblib,map_10.txt,
model_original_depth_10.joblib,map_2.txt,
model_original_depth_10.joblib,map_3.txt,
model_original_depth_10.joblib,map_4.txt,
model_original_depth_10.joblib,map_5.txt,
model_original_depth_10.joblib,map_6.txt,
model_original_depth_10.joblib,map_7.txt,
model_original_depth_10.joblib,map_8.txt,
model_original_depth_10.joblib,map_9.txt,
model_new_features_depth_10.joblib,map_1.txt,
model_new_features_depth_10.joblib,map_10.txt,
model_new_features_depth_10.joblib,map_2.txt,
model_new_features_depth_10.joblib,map_3.txt,
model_new_features_depth_10.joblib,map_4.txt,
model_new_features_depth_10.joblib,map_5.txt,
model_new_features_depth_10.joblib,map_6.txt,
model_new_features_depth_10.joblib,map_7.txt,
model_new_features_depth_10.joblib,map_8.txt,
model_new_features_depth_10.joblib,map_9.txt,
model_rfe_depth_10.joblib,map_1.txt,
model_rfe_depth_10.joblib,map_10.txt,
model_rfe_depth_10.joblib,map_2.txt,
model_rfe_depth_10.joblib,map_3.txt,
model_rfe_depth_10.joblib,map_4.txt,
model_rfe_depth_10.joblib,map_5.txt,
model_rfe_depth_10.joblib,map_6.txt,
model_rfe_depth_10.joblib,map_7.txt,
model_rfe_depth_10.joblib,map_8.txt,
model_rfe_depth_10.joblib,map_9.txt,
